size\stride	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s33	s35	s37	s39	s41	s43	s45	s47	s49	s51	s53	s55	s57	s59	s61	s63	s65	s67	s69	s71	s73	s75	s77	s79	s81	s83	s85	s87	s89	s91	s93	s95	s97	s99	s101	s103	s105	s107	s109	s111	s113	s115	s117	s119	s121	s123	s125	s127	
128m	1726	1598	1437	1370	1245	1233	1155	1066	974	900	803	754	689	654	615	588	559	540	527	508	502	488	521	525	542	535	521	524	496	499	486	515	494	480	473	472	452	446	441	436	422	428	446	433	428	426	426	415	424	433	456	469	444	451	453	453	453	453	447	449	437	440	431	439	
64m	1742	1428	1510	1419	1328	1239	1138	1073	971	914	816	779	710	681	638	599	555	550	540	522	515	532	524	524	535	547	530	524	511	515	523	534	518	481	491	478	450	461	447	457	442	447	465	443	448	457	449	450	465	455	477	464	480	481	471	477	475	477	464	454	460	434	462	470	
32m	1745	1615	1507	1403	1322	1248	1155	1114	1020	939	864	778	740	682	611	595	580	542	525	516	514	525	538	572	546	553	518	527	513	526	509	539	510	498	492	478	468	490	483	482	479	430	520	520	509	494	543	548	547	546	533	578	584	600	595	592	557	586	631	623	615	626	566	569	
16m	1758	1624	1529	1429	1336	1254	1160	1117	1008	928	882	796	725	700	652	613	611	591	583	500	575	570	603	637	718	700	726	728	657	815	783	825	847	862	874	898	865	996	1016	1015	1073	944	1027	1115	1137	1139	1239	1205	1224	1216	1228	1287	1432	1304	1362	1303	1228	1318	1400	1371	1336	1326	1318	1095	
8m	1741	1606	1584	1479	1425	1348	1261	1155	1099	1071	1000	897	922	892	851	824	812	809	850	919	904	953	1141	1311	1375	1380	1414	1382	1404	1393	1410	1302	1264	1263	1404	1346	1335	1402	1405	1243	1260	1310	1330	1368	1387	1391	1420	1444	1364	1487	1495	1513	1467	1461	1451	1469	1432	1439	1423	1362	1373	1366	1362	1349	
4m	1820	1642	1745	1819	1808	1743	1781	1756	1740	1709	1689	1663	1648	1670	1629	1611	1625	1643	1636	1604	1589	1568	1603	1742	1802	1793	1793	1796	1783	1773	1768	1745	1739	1807	1802	1823	1836	1839	1839	1842	1831	1823	1818	1374	1831	1834	1833	1830	1831	1838	1382	1839	1823	1824	1822	1823	1830	1341	1825	1371	1389	1787	1395	1816	
2m	1866	1891	1893	1887	1880	1865	1848	1831	1819	1825	1786	1770	1742	1731	1765	1757	1725	1720	1694	1646	1581	1538	1483	1419	1386	1361	1346	1800	1327	1369	1779	1736	1741	1761	1756	1772	1790	1291	1780	1280	1289	1785	1317	1783	1782	1794	1315	1779	1337	1320	1794	1307	1280	1336	1356	1343	1338	1849	1350	1378	1833	1374	1378	1840	
1024k	1889	1893	1890	1892	1880	1865	1846	1830	1818	1823	1821	1810	1789	1774	1759	1762	1768	1776	1745	1705	1662	1596	1525	1466	1422	1413	1389	1379	1377	1845	1831	1833	1813	1867	1867	1879	1333	1352	1369	1362	1883	1895	1370	1377	1401	1456	1428	1440	1476	1505	1878	1469	1491	1486	1569	1578	1541	1577	1591	1859	1700	1711	1711	1733	
512k	1894	1895	1888	1891	1881	1861	1854	1833	1821	1818	1826	1818	1809	1793	1788	1784	1828	1838	1870	1884	1882	1882	1874	1884	1868	1869	1868	1879	1871	1849	1859	1850	1841	1840	1830	1863	1867	1872	1807	1797	1804	1791	1810	1828	1773	1859	1843	1858	1846	1767	1785	1813	1794	1808	1784	1772	1771	1785	1785	1776	1785	1764	1778	1748	
256k	1846	1840	1830	1822	1813	1799	1789	1768	1757	1763	1769	1756	1747	1757	1759	1781	1777	1793	1797	1801	1786	1787	1774	1805	1784	1790	1810	1786	1771	1809	1754	1755	1791	1768	1753	1757	1782	1779	1783	1782	1762	1769	1745	1739	1775	1765	1766	1762	1789	1769	1756	1809	1727	1771	1804	1821	1799	1786	1782	1783	1760	1773	1793	1852	
128k	1842	1841	1836	1827	1786	1807	1789	1764	1754	1763	1757	1767	1747	1760	1774	1787	1766	1772	1769	1772	1756	1746	1744	1743	1765	1781	1781	1778	1808	1781	1808	1791	1843	1809	1815	1871	1847	1880	1861	1811	1883	1784	1816	1854	1811	1808	1772	1877	1816	1858	1805	1844	1864	1811	1785	1803	1810	1848	1841	1801	1826	1839	1824	1808	
64k	1838	1829	1835	1825	1814	1819	1820	1770	1778	1771	1777	1767	1787	1779	1774	1767	1834	1832	1824	1870	1775	1823	1828	1872	1804	1790	1822	1865	1812	1814	1791	1810	1853	1901	1893	1794	1836	1839	1856	1905	1827	1802	1811	1866	1860	1960	1743	1781	1869	1813	1878	1747	1782	1817	1779	1827	1731	1842	1849	1806	1786	1737	1803	1716	
32k	1848	1852	1833	1839	1838	1813	1855	1889	1849	1811	1855	1830	1822	1820	1832	1832	1798	1851	1854	1762	1862	1868	1888	1847	1875	1869	1808	1809	1825	1874	1827	1769	1799	1785	1819	1743	1768	1736	1830	1830	1804	1813	1772	1859	1819	1775	1815	1815	1733	1844	1828	1739	1884	1732	1730	1830	1672	1787	1819	1780	1847	1734	1759	1759	
16k	1854	1823	1830	1825	1861	1904	1815	2062	1794	2025	1847	1828	1811	1845	1806	1838	1836	1839	1799	1695	1782	1753	1795	1688	1712	1745	1776	1747	1745	1853	1760	1720	1705	1756	1741	1662	1645	1614	1544	1774	1587	1548	1685	1634	1724	1611	1740	1664	1737	1736	1611	1538	1681	1659	1708	1718	1640	1703	1615	1644	1664	1596	1660	1623	
8k	1845	1857	1826	1862	1871	1790	2050	1816	1849	1838	1862	1879	1839	1817	1825	1793	1736	1698	1737	1710	1747	1781	1751	1799	1727	1756	1711	1548	1739	1701	1698	1560	1667	1663	1485	1580	1504	1662	1644	2130	2301	2125	2032	1990	2150	2103	2004	2120	1963	2138	2314	2060	1977	1982	2076	2085	1993	2165	2210	2074	2153	2159	2052	2094	
4k	1904	1895	1976	1893	2032	1918	1902	1942	1648	1878	1828	1731	1845	1811	1616	1697	1716	1571	1636	1615	2048	2220	2127	2302	2229	2086	2008	2257	2241	2035	1976	2127	1989	2195	2359	2182	2057	1905	2271	2294	1914	1917	1878	1967	2122	1975	1931	2211	2159	2108	1999	2193	2264	2072	2219	2024	2024	2249	2249	2039	1979	2375	1919	2057	
2k	1953	1912	1897	1799	1815	1849	1662	1654	1636	1660	1505	2135	2112	2212	2210	2241	2277	2221	2020	2079	2151	2286	2076	2211	2380	2322	1753	1958	2422	2039	1979	2133	1992	2249	2174	2191	2099	2208	1949	1874	2045	1963	1963	1724	2069	2199	1979	1989	1889	1799	1799	1709	1899	1899	1799	1799	2024	1699	1912	1699	1600	1799	1600	1440	
1k	1958	1779	1791	1564	1640	1946	1923	2185	2037	1987	2334	2262	1894	2219	2422	1979	1992	1799	852	2228	2159	1881	1799	1889	1799	1999	2137	1799	1610	1530	1440	1600	1350	1350	1482	1575	1400	1300	1462	982	1350	1200	1200	1164	1100	1100	1100	1285	1285	1000	1059	900	900	953	900	810	900	720	847	720	758	720	800	960	
